Année scolaire 2025-2026,,,,,,,,,,,,
,,,,Emploi  du  temps ASSURANCE 1,,,,,,,,
Version du 20/09 PM,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,08h30-09h30,09h30-10h30,10h30-11h30,11h30-12h30,12h30-13h30,13h30-14h30,14h30-15h30,15h30-16h30,16h30-17h30
Jeu.,18,Sept.,2025,,RÉUNION DE RENTRÉE (9h30-12h30),,,,E31B : Culture pro : Personnes et prod. banc. - O.MANGIN    ,,,
Ven.,19,Sept.,2025,E31A : Culture pro : Biens et respons. - O. MANGIN,,,,,E42 - Accueil et relations clients - O.MANGIN 			,,,
Jeu.,25,Sept.,2025,E31B : Culture pro : Personnes et prod. banc. - O.MANGIN    ,,,,,,E1 - Culture générale et expression - L. GIRAUD (14h - 17h),,
Ven.,26,Sept.,2025,E41B - Gestion des sinistres : Personnes - O.MANGIN,,,,,E32 - Vente et développement com. - S. CAVALLER,,,
Jeu.,2,Oct.,2025,E42 - Accueil et relations clients - O.MANGIN 			,,,,,E31A : Culture pro : Biens et respons. - O. MANGIN,,,
Ven.,3,Oct.,2025,E31B : Culture pro : Personnes et prod. banc. - O.MANGIN    ,,,,,E32 - Vente et développement com. - S. CAVALLER,,,
Jeu.,9,Oct.,2025,E31A : Culture pro : Biens et respons. - O. MANGIN,,,,,,E1 - Culture générale et expression - L. GIRAUD (14h - 17h30),,
Ven.,10,Oct.,2025,ENTREPRISE,,,,,,,,
Mer.,15,Oct.,2025,JOURNÉE D'INTÉGRATION 1ÈRE / 3ÈME ANNÉE,,,,,,,,
Jeu.,16,Oct.,2025,E42 - Accueil et relations clients - O.MANGIN 			,,,,,E31B : Culture pro : Personnes et prod. banc. - O.MANGIN    ,,,
Ven.,17,Oct.,2025,E31A : Culture pro : Biens et respons. - O. MANGIN,,,,,,,,
Jeu.,23,Oct.,2025,E42 - Accueil et relations clients - O.MANGIN 			,,,,,E5 - Communication digitale - E. TABONI,,,
Ven.,24,Oct.,2025,E2 - Anglais - J. CERNIS,,,,,,,,
Jeu.,30,Oct.,2025,E31B : Culture pro : Personnes et prod. banc. - O.MANGIN    ,,,,,E31A : Culture pro : Biens et respons. - O. MANGIN,,,
Ven.,31,Oct.,2025,E41A - Gestion de sinistres : Biens - O. MANGIN,,,,,,,,
Jeu.,6,Nov.,2025,E31B : Culture pro : Personnes et prod. banc. - O.MANGIN    ,,,,,,E1 - Culture générale et expression - L. GIRAUD (14h - 17h),,
Ven.,7,Nov.,2025,E32 - Vente et développement com. - S. CAVALLER,,,,,E31B : Culture pro : Personnes et prod. banc. - O.MANGIN    ,,,
Jeu.,13,Nov.,2025,E31A : Culture pro : Biens et respons. - O. MANGIN,,,,,E5 - Communication digitale - E. TABONI,,,
Ven.,14,Nov.,2025,E42 - Accueil et relations clients - O.MANGIN 			,,,,,E31A : Culture pro : Biens et respons. - O. MANGIN,,,
Mer.,19,Nov.,2025,MASTERCLASS,,,,,,,,
Jeu.,20,Nov.,2025,E31B : Culture pro : Personnes et prod. banc. - O.MANGIN    ,,,,,,E1 - Culture générale et expression - L. GIRAUD (14h - 17h30),,
Ven.,21,Nov.,2025,E41B - Gestion des sinistres : Personnes - M.MANGIN,,,,,,,,
Jeu.,27,Nov.,2025,E31A : Culture pro : Biens et respons. - O. MANGIN,,,,,E42 - Accueil et relations clients - O.MANGIN 			,,,
Ven.,28,Nov.,2025,E41A - Gestion de sinistres : Biens - O. MANGIN,,,,,Travail sur les fiches - en Autonomie - au CFA obligatoire,,,
Mer.,3,Déc.,2025,ATELIERS,,,,,,,,
Jeu.,4,Déc.,2025,E41B - Gestion des sinistres : Personnes - M.MANGIN,,,,,E5 - Communication digitale - E. TABONI,,,
Ven.,5,Déc.,2025,E32 - Vente et développement com. - S. CAVALLER,,,,,E32 - Vente et développement com. - S. CAVALLER,,,
Jeu.,11,Déc.,2025,E31B : Culture pro : Personnes et prod. banc. - O.MANGIN    ,,,,,E31A : Culture pro : Biens et respons. - O. MANGIN,,,
Ven.,12,Déc.,2025,E42 - Accueil et relations clients - O.MANGIN 			,,,,,E5 - Communication digitale - E. TABONI,,,
Jeu.,18,Déc.,2025,E41A - Gestion de sinistres : Biens - O. MANGIN,,,,,E42 - Accueil et relations clients - O.MANGIN 			,,,
Ven.,19,Déc.,2025,E42 - Accueil et relations clients - O.MANGIN 			,,,,,Travail sur les fiches - en Autonomie - au CFA obligatoire,,,
Jeu.,8,Janv.,2026,E41B - Gestion des sinistres : Personnes - M.MANGIN,,,,,E31A : Culture pro : Biens et respons. - O. MANGIN,,,
Ven.,9,Janv.,2026,E31B : Culture pro : Personnes et prod. banc. - O.MANGIN    ,,,,,Travail sur les fiches - en Autonomie - au CFA obligatoire,,,
Jeu.,15,Janv.,2026,E42 - Accueil et relations clients - O.MANGIN 			,,,,,,E1 - Culture générale et expression - L. GIRAUD (14h - 17h30),,
Ven.,16,Janv.,2026,E32 - Vente et développement com. - S. CAVALLER,,,,,E5 - Communication digitale - E. TABONI,,,
Lun.,19,Janv.,2026,ORAUX E42 - ACCUEIL - O. MANGIN (20MIN),,,,,ÉCRIT E1 - CULTURE GÉNÉRALE ET EXP. - L. GIRAUD  (3H),,,
Mar.,20,Janv.,2026,ORAUX E32 - VENTE ET DVPT COMMERCIAL - S. CAVALLER (40MIN),,,,,ÉCRIT E41 - GESTION DES SINISTRES - O. MANGIN (4H),,,
Mer.,21,Janv.,2026,BTS BLANC S1,,,,,BTS BLANC S1,,,
Jeu.,22,Janv.,2026,ÉCRIT E31 - CULTURE PROFESSIONNELLE - O. MANGIN (4H),,,,,ÉCRIT E5 - COM. DIGITALE - E. TABONI (2H),,,
Ven.,23,Janv.,2026,E31A : Culture pro : Biens et respons. - O. MANGIN,,,,,E5 - Communication digitale - E. TABONI,,,
Jeu.,29,Janv.,2026,E41A - Gestion de sinistres : Biens - O. MANGIN,,,,,,E1 - Culture générale et expression - L. GIRAUD (14h - 17h30),,
Ven.,30,Janv.,2026,E32 - Vente et développement com. - S. CAVALLER,,,,,Travail sur les fiches - en Autonomie - au CFA obligatoire,,,
Jeu.,5,Fév.,2026,E41B - Gestion des sinistres : Personnes - M.MANGIN,,,,,E31B : Culture pro : Personnes et prod. banc. - O.MANGIN    ,,,
Ven.,6,Fév.,2026,E42 - Accueil et relations clients - O.MANGIN 			,,,,,E5 - Communication digitale - E. TABONI,,,
Jeu.,12,Fév.,2026,E31A : Culture pro : Biens et respons. - O. MANGIN,,,,,,E1 - Culture générale et expression - L. GIRAUD (14h - 17h30),,
Ven.,13,Fév.,2026,E32 - Vente et développement com. - S. CAVALLER,,,,,Travail sur les fiches - en Autonomie - au CFA obligatoire,,,
Jeu.,19,Fév.,2026,E41A - Gestion de sinistres : Biens - O. MANGIN,,,,,E31B : Culture pro : Personnes et prod. banc. - O.MANGIN    ,,,CONSEIL DE CLASSE
Ven.,20,Fév.,2026,E41B - Gestion des sinistres : Personnes - M.MANGIN,,,,,E5 - Communication digitale - E. TABONI,,,
Jeu.,26,Fév.,2026,E42 - Accueil et relations clients - O.MANGIN 			,,,,,Travail sur les fiches - en Autonomie - au CFA obligatoire,,,
Ven.,27,Fév.,2026,E32 - Vente et développement com. - S. CAVALLER,,,,,E32 - Vente et développement com. - S. CAVALLER,,,
Jeu.,5,Mars,2026,E31B : Culture pro : Personnes et prod. banc. - O.MANGIN    ,,,,,E31A : Culture pro : Biens et respons. - O. MANGIN,,,
Ven.,6,Mars,2026,E41B - Gestion des sinistres : Personnes - M.MANGIN,,,,,Travail sur les fiches - en Autonomie - au CFA obligatoire,,,
Jeu.,12,Mars,2026,E41A - Gestion de sinistres : Biens - O. MANGIN,,,,,E2 - Anglais - J. CERNIS,,,
Ven.,13,Mars,2026,E32 - Vente et développement com. - S. CAVALLER,,,,,E5 - Communication digitale - E. TABONI,,,
Mer.,18,Mars,2026,MASTERCLASS,,,,,,,,
Jeu.,19,Mars,2026,E42 - Accueil et relations clients - O.MANGIN 			,,,,,E31A : Culture pro : Biens et respons. - O. MANGIN,,,
Ven.,20,Mars,2026,E31B : Culture pro : Personnes et prod. banc. - O.MANGIN    ,,,,,Travail sur les fiches - en Autonomie - au CFA obligatoire,,,
Jeu.,26,Mars,2026,E41B - Gestion des sinistres : Personnes - M.MANGIN,,,,,E2 - Anglais - J. CERNIS,,,
Ven.,27,Mars,2026,E32 - Vente et développement com. - S. CAVALLER,,,,,E5 - Communication digitale - E. TABONI,,,
Jeu.,2,Avr.,2026,E41A - Gestion de sinistres : Biens - O. MANGIN,,,,,E31A : Culture pro : Biens et respons. - O. MANGIN,,,
Ven.,3,Avr.,2026,E1 - Culture générale et expression - L. GIRAUD ,,,,,Travail sur les fiches - en Autonomie - au CFA obligatoire,,,
Jeu.,9,Avr.,2026,E42 - Accueil et relations clients - O.MANGIN 			,,,,,E2 - Anglais - J. CERNIS,,,
Ven.,10,Avr.,2026,E32 - Vente et développement com. - S. CAVALLER,,,,,E5 - Communication digitale - E. TABONI,,,
