Année scolaire 2025-2026,,,,,,,,,,,,
,,,,Emploi  du  temps  NDRC 2,,,,,,,,
Version du 19/12/2025,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,08h30-09h30,09h30-10h30,10h30-11h30,11h30-12h30,12h30-13h30,13h30-14h30,14h30-15h30,15h30-16h30,16h30-17h30
Jeu.,4,Sept.,2025,E2 - Anglais - J. CERNIS (sous groupe),,,,,E1 - Culture générale et expression - C.ANDRE,,,
Ven.,5,Sept.,2025,E5A : Dossier DRCD - A. MAILLARD,,,,,E5A : Dossier DRCD - A. MAILLARD,,,
Jeu.,11,Sept.,2025,ENTREPRISE,,,,,,,,
Ven.,12,Sept.,2025,,Travail sur les fiches - en Autonomie - au CFA obligatoire (9h30-12h30),,,,E1 - Culture générale et expression - C.ANDRE,,,
Jeu.,18,Sept.,2025,E5B : Pratique DRCD - J. CARNIEL,,,,,E1 - Culture générale et expression - C.ANDRE,,,
Ven.,19,Sept.,2025,E5A : Dossier DRCD - A. MAILLARD,,,,,E3 - CEJM - E. TABONI,,,
Jeu.,25,Sept.,2025,E5B : Pratique DRCD - J. CARNIEL,,,,,Travail sur les fiches - en Autonomie - au CFA obligatoire,,,
Ven.,26,Sept.,2025,E2 - Anglais - J. CERNIS ,,,,,E3 - CEJM - E. TABONI (groupe A),,E3 - CEJM - E. TABONI (groupe B),
Jeu.,2,Oct.,2025,E5B : Pratique DRCD - J. CARNIEL,,,,,E1 - Culture générale et expression - C.ANDRE,,,
Ven.,3,Oct.,2025,E5A : Dossier DRCD - A. MAILLARD,,,,,Atelier Pro - A. MAILLARD,,,
Jeu.,9,Oct.,2025,E4 - RCNV - F. GIL,,,,,E6 - RCAR - V. DAVID,,,
Ven.,10,Oct.,2025,E6 - RCAR - V. DAVID,,,,,E3 - CEJM - E. TABONI (groupe B),,E3 - CEJM - E. TABONI (groupe A),
Jeu.,16,Oct.,2025,E5B : Pratique DRCD - J. CARNIEL,,,,,E1 - Culture générale et expression - C.ANDRE,,,
Ven.,17,Oct.,2025,,Travail sur les fiches - en Autonomie - au CFA obligatoire (9h30-12h30),,,,E5A : Dossier DRCD - A. MAILLARD,,,
Jeu.,23,Oct.,2025,E2 - Anglais - J. CERNIS (sous groupe),,,,,E5B : Pratique DRCD - J. CARNIEL,,,
Ven.,24,Oct.,2025,Atelier Pro - A. MAILLARD,,,,,E3 - CEJM - E. TABONI (groupe A),,E3 - CEJM - E. TABONI (groupe B),
Jeu.,30,Oct.,2025,E5B : Pratique DRCD - J. CARNIEL,,,,,E5B : Pratique DRCD - J. CARNIEL,,,
Ven.,31,Oct.,2025,,,,,,,,,
Jeu.,6,Nov.,2025,E5B : Pratique DRCD - J. CARNIEL,,,,,E2 - Anglais - J. CERNIS ,,,
Ven.,7,Nov.,2025,E6 - RCAR - V. DAVID,,,,,E5B : Pratique DRCD - J. CARNIEL,,,
Jeu.,13,Nov.,2025,,Travail sur les fiches - en Autonomie - au CFA obligatoire (9h30-12h30),,,,E6 - RCAR - V. DAVID,,,
Ven.,14,Nov.,2025,E5A : Dossier DRCD - A. MAILLARD,,,,,,,,
Mer.,19,Nov.,2025,MASTERCLASS,,,,,,,Engagement étudiant - S. CHECCHI (15h30-17h),
Jeu.,20,Nov.,2025,E4 - RCNV - F. GIL,,,,,E1 - Culture générale et expression - C.ANDRE,,,
Ven.,21,Nov.,2025,E6 - RCAR - V. DAVID,,,,,E3 - CEJM - E. TABONI,,,
Jeu.,27,Nov.,2025,E4 - RCNV - F. GIL,,,,,E4 - RCNV - F. GIL,,,
Ven.,28,Nov.,2025,E5A : Dossier DRCD - A. MAILLARD,,,,,E3 - CEJM - E. TABONI (groupe A),,E3 - CEJM - E. TABONI (groupe B),
Mer.,3,Déc.,2025,ATELIERS,,,,,Engagement étudiant - S. CHECCHI (13h30-15h),,ATELIERS,
Jeu.,4,Déc.,2025,E5B : Pratique DRCD - J. CARNIEL,,,,,E4 - RCNV - F. GIL,,,
Ven.,5,Déc.,2025,E2 - Anglais - J. CERNIS ,,,,,E3 - CEJM - E. TABONI (groupe B),,E3 - CEJM - E. TABONI (groupe A),
Jeu.,11,Déc.,2025,E6 - RCAR - V. DAVID,,,,,E5B : Pratique DRCD - J. CARNIEL,,,
Ven.,12,Déc.,2025,E5A : Dossier DRCD - A. MAILLARD,,,,,E4 - RCNV - F. GIL,,,
Jeu.,18,Déc.,2025,E6 - RCAR - V. DAVID,,,,,E4 - RCNV - F. GIL,,,
Ven.,19,Déc.,2025,,,,,,,,,
Jeu.,8,Janv.,2026,E6 - RCAR - V. DAVID,,,,,E2 - Anglais - J. CERNIS ,,,
Ven.,9,Janv.,2026,E6 - RCAR - V. DAVID,,,,,E1 - Culture générale et expression - C.ANDRE,,,
Jeu.,15,Janv.,2026,E6 - RCAR - V. DAVID,,,,,E3 - CEJM - E. TABONI (groupe B),,E3 - CEJM - E. TABONI (groupe A),
Ven.,16,Janv.,2026,E3 - CEJM - E. TABONI (groupe B),,E3 - CEJM - E. TABONI (groupe A),,,Atelier Pro - A. MAILLARD,,,
Lun.,19,Janv.,2026,,ÉCRIT E4 - RCNV - F. GIL  (2H30),,,,ÉCRIT E1 - CULTURE GÉNÉRALE ET EXP. - C. ANDRÉ (3H),,,
Mar.,20,Janv.,2026,ÉCRIT E3 - CEJM - E. TABONI  (4H),,,,,ÉCRIT E5A - RCDD (DOSSIER) - A. MAILLARD  (3H),,,
Mer.,21,Janv.,2026,BTS BLANC S3,,,,,ORAUX E5B - RCDD (PRATIQUE) - J. CARNIEL  (40MIN)		,,,
Jeu.,22,Janv.,2026,ORAUX E6 - RCAR - V. DAVID  (30MIN),,,,,ORAUX E6 - RCAR - V. DAVID  (30MIN),,,
Ven.,23,Janv.,2026,E1 - Culture générale et expression - C.ANDRE,,,,,E4 - RCNV - F. GIL,,,
Jeu.,29,Janv.,2026,E4 - RCNV - F. GIL,,,,,E6 - RCAR - V. DAVID,,,
Ven.,30,Janv.,2026,Atelier Pro - A. MAILLARD,,,,,E3 - CEJM - E. TABONI (groupe A),,E3 - CEJM - E. TABONI (groupe B),
Jeu.,5,Fév.,2026,E4 - RCNV - F. GIL,,,,,E6 - RCAR - V. DAVID,,,
Ven.,6,Fév.,2026,E3 - CEJM - E. TABONI (groupe A),,E3 - CEJM - E. TABONI (groupe B),,,,,,
Jeu.,12,Fév.,2026,E4 - RCNV - F. GIL,,,,,E1 - Culture générale et expression - C.ANDRE,,,CONSEIL DE CLASSE
Ven.,13,Fév.,2026,E1 - Culture générale et expression - C.ANDRE,,,,,E1 - Culture générale et expression - C.ANDRE,,,
Jeu.,19,Fév.,2026,E6 - RCAR - V. DAVID,,,,,E2 - Anglais - J. CERNIS ,,,
Ven.,20,Fév.,2026,E6 - RCAR - V. DAVID,,,,,,,,
Jeu.,26,Fév.,2026,E4 - RCNV - F. GIL,,,,,E5B : Pratique DRCD - J. CARNIEL,,,
Ven.,27,Fév.,2026,,Travail sur les fiches - en Autonomie - au CFA obligatoire (9h30-12h30),,,,E3 - CEJM - E. TABONI (groupe B),,E3 - CEJM - E. TABONI (groupe A),
Jeu.,5,Mars,2026,E5B : Pratique DRCD - J. CARNIEL,,,,,E5B : Pratique DRCD - J. CARNIEL,,,
Ven.,6,Mars,2026,E5A : Dossier DRCD - A. MAILLARD,,,,,E5A : Dossier DRCD - A. MAILLARD,,,
Jeu.,12,Mars,2026,E6 - RCAR - V. DAVID,,,,,E4 - RCNV - F. GIL,,,
Ven.,13,Mars,2026,E3 - CEJM - E. TABONI (groupe B),,E3 - CEJM - E. TABONI (groupe A),,,,,,
Mer.,18,Mars,2026,MASTERCLASS,,,,,,Engagement étudiant - S. CHECCHI (15h-16h30),,
Jeu.,19,Mars,2026,E4 - RCNV - F. GIL,,,,,E4 - RCNV - F. GIL,,,
Ven.,20,Mars,2026,E5A : Dossier DRCD - A. MAILLARD,,,,,E1 - Culture générale et expression - C.ANDRE,,,
Jeu.,26,Mars,2026,E5B : Pratique DRCD - J. CARNIEL,,,,,E4 - RCNV - F. GIL,,,
Ven.,27,Mars,2026,E2 - Anglais - J. CERNIS ,,,,,E4 - RCNV - F. GIL,,,
Jeu.,2,Avr.,2026,E4 - RCNV - F. GIL,,,,,E5B : Pratique DRCD - J. CARNIEL,,,
Ven.,3,Avr.,2026,E5A : Dossier DRCD - A. MAILLARD,,,,,E3 - CEJM - E. TABONI (groupe A),,E3 - CEJM - E. TABONI (groupe B),
Jeu.,9,Avr.,2026,E5B : Pratique DRCD - J. CARNIEL,,,,,E5B : Pratique DRCD - J. CARNIEL,,,
Ven.,10,Avr.,2026,E2 - Anglais - J. CERNIS (sous groupe),,,,,E4 - RCNV - F. GIL,,,
Lun.,13,Avr.,2026,BTS BLANC S4,,,,,BTS BLANC S4,,,
Mar.,14,Avr.,2026,BTS BLANC S4,,,,,BTS BLANC S4,,,
Mer.,15,Avr.,2026,BTS BLANC S4,,,,,BTS BLANC S4,,,
Jeu.,16,Avr.,2026,BTS BLANC S4,,,,,BTS BLANC S4,,,
Ven.,17,Avr.,2026,E3 - CEJM - E. TABONI (groupe A),,E3 - CEJM - E. TABONI (groupe B),,,Atelier Pro - A. MAILLARD,,,
Jeu.,23,Avr.,2026,E5B : Pratique DRCD - J. CARNIEL,,,,,E1 - Culture générale et expression - C.ANDRE,,,
Ven.,24,Avr.,2026,E4 - RCNV - F. GIL,,,,,E3 - CEJM - E. TABONI (groupe B),,E3 - CEJM - E. TABONI (groupe A),
Jeu.,30,Avr.,2026,E2 - Anglais - J. CERNIS (sous groupe),,,,,E1 - Culture générale et expression - C.ANDRE,,,CONSEIL DE CLASSE
Ven.,1,Mai,2026,FÉRIÉ / ENTREPRISE,,,,,,,,
Jeu.,7,Mai,2026,E6 - RCAR - V. DAVID,,,,,E6 - RCAR - V. DAVID,,,
Ven.,8,Mai,2026,FÉRIÉ / ENTREPRISE,,,,,,,,
Lun.,18,Mai,2026,,,,,,,Épreuve finale : CEJM (4H) 14h-18h,,
Mar.,19,Mai,2026,,,Épreuve finale : LV1 (2H) 10h30-12h30,,,,Épreuve finale : Culture générale et expression (3H) 14h30-17h30,,
