Année scolaire 2025-2026,,,,,,,,,,,,
,,,,Emploi  du  temps  SIO 1,,,,,,,,
Version du 09/12,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,08h30-09h30,09h30-10h30,10h30-11h30,11h30-12h30,12h30-13h30,13h30-14h30,14h30-15h30,15h30-16h30,16h30-17h30
Lun.,22,Sept.,2025,,RÉUNION DE RENTRÉE (9h30-12h30),,,,E5 : Support et mise à disposition de services informatiques - A. BRES,,,
Mar.,23,Sept.,2025,E3 - Mathématiques pour l'informatique - G. ANKRI,,,,,E1 - Culture générale et expression - L. GIRAUD ,,,
Lun.,29,Sept.,2025,,,,,,E5 : Support et mise à disposition de services informatiques - A. BRES,,,
Mar.,30,Sept.,2025,E3 - Mathématiques pour l'informatique - G. ANKRI,,,,,E6 : Conception et développement d'applications - C.MAURIN,,,
Lun.,6,Oct.,2025,E4 - CEJM - E. TABONI,,,,,,E1 - Culture générale et expression - L. GIRAUD (14h - 17h) (sous groupe),,
Mar.,7,Oct.,2025,E3 - Mathématiques pour l'informatique - G. ANKRI,,,,,E6 : Conception et développement d'applications - C.MAURIN,,,
Lun.,13,Oct.,2025,E4 - CEJM - E. TABONI,,,,,E5 : Support et mise à disposition de services informatiques - A. BRES,,,
Mar.,14,Oct.,2025,E6 : Conception et développement d'applications - C.MAURIN,,,,,,,,
Mer.,15,Oct.,2025,JOURNÉE D'INTÉGRATION 1ÈRE / 3ÈME ANNÉE,,,,,,,,
Lun.,20,Oct.,2025,E2 - Anglais - J. CERNIS,,,,,,,,
Mar.,21,Oct.,2025,E6 : Conception et développement d'applications - C.MAURIN,,,,,E1 - Culture générale et expression - L. GIRAUD (sous groupe),,,
Lun.,27,Oct.,2025,E4 - CEJM - E. TABONI,,,,,E5 : Support et mise à disposition de services informatiques - A. BRES,,,
Mar.,28,Oct.,2025,E3 - Mathématiques pour l'informatique - G. ANKRI,,,,,E1 - Culture générale et expression - L. GIRAUD ,,,
Lun.,3,Nov.,2024,E6 : Conception et développement d'applications - C.MAURIN,,,,,E6 : Conception et développement d'applications - C.MAURIN,,,
Mar.,4,Nov.,2025,E3 - Mathématiques pour l'informatique - G. ANKRI,,,,,E7 - Cybersécurité - C.TIXIER,,,
Lun.,10,Nov.,2025,ENTREPRISE,,,,,,,,
Mar.,11,Nov.,2025,FÉRIÉ / ENTREPRISE,,,,,,,,
Lun.,17,Nov.,2025,E4 - CEJM - E. TABONI,,,,,E2 - Anglais - J. CERNIS,,,
Mar.,18,Nov.,2025,E6 : Conception et développement d'applications - C.MAURIN,,,,,E1 - Culture générale et expression - L. GIRAUD (sous groupe),,,
Mer.,19,Nov.,2025,MASTERCLASS,,,,,,,,
Lun.,24,Nov.,2025,E4 - CEJM - E. TABONI,,,,,E5 : Support et mise à disposition de services informatiques - A. BRES,,,
